motion_id,sha256,frames,fps,duration_s,raw_step_rad,raw_speed_rad_s,raw_acceleration_rad_s2,raw_jerk_rad_s3,raw_acceleration_p99_rad_s2,raw_position_excess_rad,raw_speed_violating_intervals,export_speed_clamp_fraction,fast_reversal_samples,fast_reversal_frames,gmr_limited_joints,gmr_limited_joint_limits,gmr_limited_collision_frames_adjusted,v2_speed_rad_s,v2_acceleration_rad_s2,v2_jerk_rad_s3,v2_speed_bad_segments,v2_acceleration_bad_segments,worst_acceleration_joint,worst_acceleration_time_s,v2_position_excess_rad,v2_jerk_jump_rad_s3,root_speed_m_s,root_acceleration_m_s2,root_jerk_m_s3,root_angular_speed_rad_s,root_angular_acceleration_rad_s2,root_speed_violation,root_angular_speed_violation
gPO_sBM_cAll_d12_mPO4_ch01,a38cfde0b63f4b4cab4d205b386c2dc06468d23bfaaeeece3916748f1ec0b7df,480,60.0,7.983333333333333,0.1553191116464443,9.319146698786657,146.54816704449246,5369.467982522167,74.17664708030061,0.0,0,0.0,0,0,182,0,0,9.324316545743569,214.75027400673616,13449.957949170444,0,0,left_shoulder_pitch,0.0,0.0,2873.132484540053,0.7654998554778899,23.22104926321827,2231.142501846025,5.340111187874266,254.49954150706154,False,False
gPO_sBM_cAll_d12_mPO4_ch02,1d721c48be4861f5cd7d21f3cac159709d58bb00635f23a8062e89ff86cbd552,480,60.0,7.983333333333333,0.15508276711351088,9.304966026810654,167.49876015233767,5165.9264071549005,100.39093289721944,0.0,0,0.0,0,0,381,0,0,9.322708472812238,177.07969286689206,10296.574225287764,0,0,waist_pitch,0.0,0.0,2446.4068290717228,1.0840973055790755,69.13227554008024,7703.022831238865,4.2106239122137366,219.08733665324044,False,False
gPO_sBM_cAll_d12_mPO5_ch01,c9dbeeb6bf41621c5603d465a200656d09b72d0d0470648752baf6b3217159f7,443,60.0,7.366666666666666,0.15702913553202744,9.421748131921646,167.74271626946512,5257.4575278102675,118.65598660469365,0.0,0,0.0,0,0,793,2,0,9.424443141330306,197.81469002152352,9963.785723158078,0,0,right_wrist_roll,0.0,0.0,6119.633575009195,0.842818556987747,23.608160084512225,2246.226628099372,6.269680167107362,347.53600582125404,False,False
gPO_sBM_cAll_d12_mPO5_ch02,080568ee7c1cd85a1a3bb8709f90e0038008cab34efedaa8b3f5d6510566d56a,443,60.0,7.366666666666666,0.15690779076195394,9.414467445717236,242.90034639809056,5223.267402815484,147.1278709798833,0.0,0,0.0,0,0,2243,0,1,9.424599758603918,272.2713633111152,8559.364408234982,0,0,right_wrist_yaw,0.0,0.0,6069.7672801684985,1.297671582421123,67.38426915250503,7633.621104123848,8.58967698780289,517.9272236990845,False,False
gPO_sFM_cAll_d10_mPO1_ch02,756223e4a0f948586b40c1089ed06922f73ba4c775463fde76d9784ccf97dae2,2558,60.0,42.61666666666667,0.1554274205710251,9.325645234261506,171.36483337999456,5240.547157635317,67.93789212276846,0.0,0,0.0,0,0,542,12,2,9.330909419612485,176.89566726529412,7973.589860332148,0,0,right_shoulder_pitch,7.4737416192021096,0.0,6700.400550319906,2.5011598753690136,252.43640043773058,26544.104780247475,12.566370614359206,1504.7512324811312,False,False
gPO_sFM_cAll_d11_mPO1_ch09,0467d74e52af85d87bc68cd2ec6580fccbd0e1f427dd6e3e76709a0b1d68cf37,2558,60.0,42.61666666666667,0.15695718305655437,9.417430983393263,218.25394300795028,6416.930998017865,87.17922317161086,4.765947636542478e-10,0,0.0,0,0,1658,45,2,9.424016657953418,234.57895146269547,13101.396382988161,0,0,left_shoulder_pitch,21.01844837243984,4.868780933975358e-10,10534.206392716087,3.000000000000003,294.1944998923416,28415.240176417054,12.56637061435938,1507.7486521855196,False,False
gPO_sFM_cAll_d12_mPO1_ch16,7005678cbe83a5992044a1de6d169ae8aae3338e27b31b1b8db98f9c43db8f56,2558,60.0,42.61666666666667,0.1569408226172575,9.41644935703545,174.63398755884887,4649.230920001985,95.91699041653432,0.0,0,0.0,0,0,1790,32,0,9.4228577507412,179.56425186317662,8149.325322392313,0,0,left_elbow,10.22567959392528,0.0,5972.83461003046,3.0000000000000013,253.30977704673037,23079.450267117525,12.566370614359265,1501.4060045856877,False,False
gWA_sBM_cAll_d25_mWA0_ch01,ceb99d15fcd20fe5c312f1f42eabd5144383c40de6fa9e6bd022d2ad2f2e3d39,720,60.0,11.983333333333333,0.15707823847687785,9.424694308612672,186.4243474701669,5323.3106520606,127.59361526974277,1.542228567075199e-10,0,0.0,0,0,1973,6,0,9.424777960769378,252.8080826377739,7933.5044695347,0,0,right_shoulder_pitch,0.0,1.8485790675981661e-10,6601.989160407959,1.0899185371715316,56.690325453623494,5696.192392107543,10.454533191614559,812.8614567896923,False,False
gWA_sBM_cAll_d25_mWA0_ch02,c607b694bf68e4aab7a9c101a094b5e412e85a46566c00ede0f301a9333dfcbe,720,60.0,11.983333333333333,0.1569292361745066,9.415754170470397,208.02112366073462,6638.2961927193965,127.87716839466816,0.0,0,0.0,0,0,2146,11,4,9.42392974198031,233.18793756156697,14502.01620378495,0,0,left_shoulder_pitch,0.0,0.0,8928.755386587545,1.349792735821812,71.81092919016776,5425.1722107739715,12.566370614359197,898.9150705198543,False,False
gWA_sBM_cAll_d25_mWA0_ch03,76d010a246ebf435f6d2377a547e7da8c754736f6ce371cfbefe8add3c4fbe78,720,60.0,11.983333333333333,0.15637408146799414,9.382444888079648,187.56129854461796,5182.617275726197,128.77334492595364,0.0,0,0.0,0,0,1529,6,0,9.40861699803821,191.1708746417413,10919.128787945552,0,0,left_elbow,7.8314783522811915,0.0,7287.638790571293,2.2379580278227458,130.9482495221526,14016.416585756764,12.566370614359432,915.2369729574592,False,False
gWA_sBM_cAll_d25_mWA0_ch04,3d88c32ff4e62417a8682baa1085b43c361735f47ee8286ebc5b4a3dbb490c76,720,60.0,11.983333333333333,0.15599470014539674,9.359682008723805,153.55096936697504,4350.7347362874525,83.52643657040275,0.0,0,0.0,0,0,322,1,2,9.369797824830155,175.98890294456652,6942.146836966868,0,0,right_shoulder_pitch,0.0,0.0,2552.4358704570122,1.4790304608232003,68.85194040948303,8173.071558568672,11.113286281046685,589.0560250199343,False,False
gWA_sBM_cAll_d25_mWA0_ch05,8ca951b0cba1e70de8c2054cfb5ecb335891d5ed67494f0eec69ddbc1d2952a2,720,60.0,11.983333333333333,0.15678018056068765,9.40681083364126,192.04328967097953,4836.089397570613,129.69288255319134,0.0,0,0.0,0,0,1440,0,0,9.419362392174902,194.77606033524478,10828.509242178976,0,0,left_wrist_yaw,9.26764976537474,0.0,10101.847227781212,0.7199436298156895,54.26624763053549,5158.925828090296,10.614044301786222,661.476015060857,False,False
gWA_sBM_cAll_d25_mWA0_ch06,0c1a0ed5b6e50af7eb7b12bbbffa1f1d7c0d1e742dec0987737992ad2c1bc384,720,60.0,11.983333333333333,0.15605417729750137,9.363250637850083,162.86901594608548,3993.8799073586033,87.97463169137495,0.0,0,0.0,0,0,358,0,1,9.368619522814841,166.3125297208548,7024.822109958686,0,0,left_elbow,8.615793037832344,0.0,2151.9659875834636,0.8676729963290163,40.821472246655965,4681.315457603727,9.547225551236297,647.9646617733825,False,False
gWA_sBM_cAll_d25_mWA0_ch07,9592245572e5f55950b362b675a57e36a83d8b52701d561e084fb438fdb4084f,720,60.0,11.983333333333333,0.15651939117114516,9.39116347026871,162.44886197375047,4529.696846554905,104.72497692158639,0.0,0,0.0,0,0,769,1,0,9.409098551926714,167.12254643869016,8055.611118754782,0,0,left_elbow,5.161284349264877,0.0,5226.911057681062,0.9905516492108011,59.44331923328519,5530.415424769537,8.197960753795297,701.6958810860721,False,False
gWA_sBM_cAll_d25_mWA0_ch08,25a0e5ad43beb302cd22b25d8b57d8429569731ffefbfa5109d239328ff5f154,720,60.0,11.983333333333333,0.15703984639385735,9.42239078363144,188.65752353893032,5709.267728561135,112.07230308879281,2.1748336465066131e-10,0,0.0,0,0,1330,5,8,9.424537334631486,193.15130437767002,10052.7610680706,0,0,left_shoulder_pitch,0.5993270880459899,2.1789992032950067e-10,7678.311538453874,1.078762090589836,77.47001631141553,8574.14799158843,11.091621171850647,898.4010731826578,False,False
gWA_sBM_cAll_d25_mWA0_ch09,e115ac73a89096ff33d40fd40f99df0b1e26cb71517acd204aad763708d4c2c9,720,60.0,11.983333333333333,0.15588079873389704,9.352847924033822,159.92596185881914,3971.1967009044483,82.07682676834155,0.0,0,0.0,0,0,404,0,0,9.370162833264539,195.36234369100922,8147.9475199500985,0,0,right_wrist_roll,0.0,0.0,1806.6495123943719,1.1230374472675562,80.40779781527979,9207.176168867063,9.598443905099666,707.4878252152528,False,False
gWA_sBM_cAll_d25_mWA0_ch10,0bc86f2508c8c3c1a583e8487b838d2db9810a43d8d42394e9b729d3c972afe6,720,60.0,11.983333333333333,0.15616099665549887,9.369659799329932,167.73285637009377,5257.459240688241,115.85393228973118,0.0,0,0.0,0,0,1338,0,0,9.374649064707711,205.21859653355926,9100.520981012047,0,0,left_elbow,0.0,0.0,4659.539238916354,1.6567992536620433,39.14479614088341,3892.923733799894,12.566370614359244,494.1107962411814,False,False
